Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A026W786	unreviewed	Disheveled-associated activator of morphogenesis	2015173	Ooceraea biroi	1085	PF02181	599..971
A0A026WK00	unreviewed	Formin-like protein	2015173	Ooceraea biroi	1007	PF02181	525..899
A0A026WS92	unreviewed	FH2 domain-containing protein	2015173	Ooceraea biroi	1780	PF02181	327..704
A0A026WXL5	unreviewed	FH1/FH2 domain-containing protein	2015173	Ooceraea biroi	1271	PF02181	745..1108
A0A026X427	unreviewed	Diaphanous-like protein	2015173	Ooceraea biroi	1066	PF02181	579..950
A0A026X5W5	unreviewed	FH2 domain-containing protein	2015173	Ooceraea biroi	1258	PF02181	809..1205
A0A034V5Q5	unreviewed	protein diaphanous	27457	Bactrocera dorsalis	1092	PF02181	599..972
A0A034V700	unreviewed	FH2 domain-containing protein	27457	Bactrocera dorsalis	590	PF02181	136..541
A0A034VBK7	unreviewed	FH1/FH2 domain-containing protein 3	27457	Bactrocera dorsalis	912	PF02181	408..771
A0A034VHH4	unreviewed	Disheveled-associated activator of morphogenesis 2	27457	Bactrocera dorsalis	1330	PF02181	829..1204
A0A034VI68	unreviewed	Formin-like protein CG32138	27457	Bactrocera dorsalis	1199	PF02181	705..1080
A0A034VJ44	unreviewed	Formin-like protein CG32138	27457	Bactrocera dorsalis	1131	PF02181	696..1071
A0A034VJH9	unreviewed	Disheveled-associated activator of morphogenesis 2	27457	Bactrocera dorsalis	1328	PF02181	827..1202
A0A034VJW0	unreviewed	Formin-like protein CG32138	27457	Bactrocera dorsalis	1190	PF02181	696..1071
A0A034VK79	unreviewed	Disheveled-associated activator of morphogenesis 2	27457	Bactrocera dorsalis	1290	PF02181	789..1164
A0A034VWG5	unreviewed	FH2 domain-containing protein	27457	Bactrocera dorsalis	803	PF02181	162..545
A0A058Z397	unreviewed	HECT domain-containing protein	691883	Fonticula alba	1931	PF02181	1101..1474
A0A058Z5T8	unreviewed	Protein kinase domain-containing protein	691883	Fonticula alba	1529	PF02181	1005..1382
A0A058Z5Y1	unreviewed	FH2 domain-containing protein	691883	Fonticula alba	749	PF02181	276..646
A0A058ZBL7	unreviewed	GBD/FH3 domain-containing protein	691883	Fonticula alba	1407	PF02181	877..1254
A0A058ZRI5	unreviewed	Formin-like protein	71139	Eucalyptus grandis	299	PF02181	15..276
A0A059AL80	unreviewed	Formin-like protein	71139	Eucalyptus grandis	931	PF02181	486..880
A0A059AUT4	unreviewed	Formin-like protein	71139	Eucalyptus grandis	968	PF02181	512..914
A0A059AW51	unreviewed	Formin-like protein	71139	Eucalyptus grandis	708	PF02181	250..647
A0A059BM83	unreviewed	Formin-like protein	71139	Eucalyptus grandis	944	PF02181	479..883
A0A059CJ77	unreviewed	Formin-like protein	71139	Eucalyptus grandis	689	PF02181	285..655
A0A059CQD2	unreviewed	Formin-like protein	71139	Eucalyptus grandis	1312	PF02181	940..1297
A0A059CQX3	unreviewed	Formin-like protein	71139	Eucalyptus grandis	1344	PF02181	940..1309
A0A059CS46	unreviewed	Formin-like protein	71139	Eucalyptus grandis	931	PF02181	794..922
A0A059CZ77	unreviewed	Formin-like protein	71139	Eucalyptus grandis	348	PF02181	15..309
A0A059D2X4	unreviewed	Formin-like protein	71139	Eucalyptus grandis	947	PF02181	529..924
A0A059D3U9	unreviewed	Formin-like protein	71139	Eucalyptus grandis	291	PF02181	1..277
A0A059D6J3	unreviewed	Formin-like protein	71139	Eucalyptus grandis	826	PF02181	352..767
A0A059D963	unreviewed	Formin-like protein	71139	Eucalyptus grandis	866	PF02181	388..804
A0A059DGD4	unreviewed	Formin-like protein	71139	Eucalyptus grandis	902	PF02181	436..839
A0A059EJN7	unreviewed	FH2 domain-containing protein	1240240	Anncaliia algerae PRA109	431	PF02181	83..423
A0A059EX59	unreviewed	FH2 domain-containing protein	1288291	Anncaliia algerae PRA339	916	PF02181	568..908
A0A059JG80	unreviewed	Cytokinesis protein	1215338	Trichophyton interdigitale (strain MR816)	1714	PF02181	1085..1475
A0A059Q220	unreviewed	Formin-like protein	131158	Saccharum hybrid cultivar R570	840	PF02181	442..819
A0A060KTH6	unreviewed	Dishevelled associated activator of morphogenesis 1	74533	Panthera tigris altaica	268	PF02181	1..173
A0A060RPQ7	unreviewed	FH2 domain-containing protein	5854	Plasmodium reichenowi	2794	PF02181	2365..2735
A0A060S0S7	unreviewed	FH2 domain-containing protein	5854	Plasmodium reichenowi	2946	PF02181	2379..2745
A0A060SN08	unreviewed	FH2-domain-containing protein	5643	Pycnoporus cinnabarinus	1544	PF02181	1153..1443
A0A060SRN6	unreviewed	GBD/FH3 domain-containing protein	5643	Pycnoporus cinnabarinus	1498	PF02181	946..1317
A0A060TEN6	unreviewed	ARAD1D09262p	409370	Blastobotrys adeninivorans	1869	PF02181	1125..1511
A0A060VSJ8	unreviewed	Formin-like 2a	8022	Oncorhynchus mykiss	1003	PF02181	529..893
A0A060VV36	unreviewed	Inverted formin-2	8022	Oncorhynchus mykiss	1171	PF02181	540..897
A0A060VW56	unreviewed	Formin-like protein	8022	Oncorhynchus mykiss	735	PF02181	267..639
A0A060W9E8	unreviewed	Formin-like protein 1	8022	Oncorhynchus mykiss	883	PF02181	431..786
A0A060WD44	unreviewed	Dishevelled associated activator of morphogenesis 1	8022	Oncorhynchus mykiss	1071	PF02181	561..977
A0A060WFM1	unreviewed	Inverted formin, FH2 and WH2 domain containing	8022	Oncorhynchus mykiss	915	PF02181	477..832
A0A060WHA6	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	1011	PF02181	753..946
A0A060WMD8	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	1004	PF02181	278..633
A0A060WPT3	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	219	PF02181	2..95
A0A060WV90	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	244	PF02181	59..240
A0A060WVE1	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	185	PF02181	59..158
A0A060WVW5	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	443	PF02181	10..304
A0A060WX06	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	246	PF02181	56..209
A0A060WXC9	unreviewed	Dishevelled associated activator of morphogenesis 1b	8022	Oncorhynchus mykiss	1052	PF02181	589..957
A0A060X4Y1	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	115	PF02181	18..84
A0A060X6K0	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	713	PF02181	347..706
A0A060X977	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	817	PF02181	31..393
A0A060XDR1	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	751	PF02181	522..730
A0A060XES3	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	785	PF02181	400..761
A0A060XQX4	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	869	PF02181	13..378
A0A060XV87	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	1035	PF02181	633..1009
A0A060XYI6	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	1188	PF02181	954..1125
A0A060Y0V1	unreviewed	Formin-like 1a	8022	Oncorhynchus mykiss	1016	PF02181	563..928
A0A060Y2K4	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	458	PF02181	77..393
A0A060Y3Y3	unreviewed	Formin-like protein 3	8022	Oncorhynchus mykiss	1098	PF02181	632..996
A0A060Y669	unreviewed	Formin-like protein 1	8022	Oncorhynchus mykiss	888	PF02181	711..800
A0A060YBE7	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	91	PF02181	22..84
A0A060YCX7	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	265	PF02181	3..234
A0A060YP21	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	819	PF02181	44..158
A0A060YQ22	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	449	PF02181	9..160
A0A060YR12	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	280	PF02181	27..279
A0A060YR35	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	532	PF02181	27..392
A0A060YTL5	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	131	PF02181	9..115
A0A060YTW8	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	298	PF02181	86..291
A0A060YXJ5	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	194	PF02181	26..190
A0A060Z3U1	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	207	PF02181	2..161
A0A060ZPU2	unreviewed	FH2 domain-containing protein	8022	Oncorhynchus mykiss	152	PF02181	28..150
A0A061AEM4	unreviewed	RHTO0S01e10660g1_1	5286	Rhodosporidium toruloides	1746	PF02181	1285..1649
A0A061ARV2	unreviewed	RHTO0S05e02674g1_1	5286	Rhodosporidium toruloides	1856	PF02181	1223..1606
A0A061D8W9	unreviewed	FH2 domain-containing protein	5866	Babesia bigemina	1558	PF02181	1134..1495
A0A061DEN6	unreviewed	FH2 domain-containing protein	5866	Babesia bigemina	2051	PF02181	1458..1818
A0A061DIJ4	unreviewed	Formin-like protein	3641	Theobroma cacao	915	PF02181	471..864
A0A061DMR1	unreviewed	Formin-like protein	3641	Theobroma cacao	1192	PF02181	731..1128
A0A061DUP5	unreviewed	Formin-like protein	3641	Theobroma cacao	1189	PF02181	731..1125
A0A061E5L8	unreviewed	Formin-like protein	3641	Theobroma cacao	778	PF02181	312..718
A0A061EAC3	unreviewed	Formin-like protein	3641	Theobroma cacao	918	PF02181	445..847
A0A061EQL5	unreviewed	Formin-like protein	3641	Theobroma cacao	933	PF02181	477..881
A0A061F3J8	unreviewed	Formin-like protein	3641	Theobroma cacao	943	PF02181	525..920
A0A061F6Y2	unreviewed	Formin-like protein	3641	Theobroma cacao	978	PF02181	510..914
A0A061FT97	unreviewed	Formin-like protein	3641	Theobroma cacao	796	PF02181	327..736
A0A061FXD0	unreviewed	Formin-like protein	3641	Theobroma cacao	1438	PF02181	1030..1400
A0A061FXY8	unreviewed	Actin-binding FH2 protein isoform 3	3641	Theobroma cacao	1213	PF02181	1030..1205
A0A061FYI0	unreviewed	Formin-like protein	3641	Theobroma cacao	1408	PF02181	1030..1388
A0A061GEH8	unreviewed	Formin-like protein	3641	Theobroma cacao	1180	PF02181	757..1129
A0A061GIV1	unreviewed	Formin-like protein	3641	Theobroma cacao	1063	PF02181	695..1034
A0A061GJK1	unreviewed	Formin-like protein	3641	Theobroma cacao	1409	PF02181	986..1359
A0A061GQD5	unreviewed	Formin-like protein	3641	Theobroma cacao	997	PF02181	695..965
A0A061GR12	unreviewed	Formin-like protein	3641	Theobroma cacao	1349	PF02181	932..1303
A0A061H3E7	unreviewed	Related to Cytokinesis protein sepA	1277687	Pseudozyma flocculosa PF-1	1952	PF02181	1184..1573
A0A061HZ00	unreviewed	Adenylosuccinate synthetase	10029	Cricetulus griseus	1540	PF02181	327..668
A0A061I057	unreviewed	Disheveled-associated activator of morphogeneis 1-like protein	10029	Cricetulus griseus	1044	PF02181	577..949
A0A061IKL3	unreviewed	Disheveled-associated activator of morphogeneis 2	10029	Cricetulus griseus	1124	PF02181	596..1025
A0A061IM67	unreviewed	GBD/FH3 domain-containing protein	10029	Cricetulus griseus	910	PF02181	463..812
A0A061IPB5	unreviewed	Protein diaphanous homolog 2	10029	Cricetulus griseus	911	PF02181	484..813
A0A061ITI2	unreviewed	FH2 domain-containing protein	429131	Trypanosoma rangeli SC58	968	PF02181	536..842
A0A061JBG6	unreviewed	FH2 domain-containing protein	429131	Trypanosoma rangeli SC58	269	PF02181	3..229
A0A061QVK2	unreviewed	Formin-like protein	582737	Tetraselmis sp. GSL018	537	PF02181	53..422
A0A061R3A9	unreviewed	FH2 domain-containing protein	582737	Tetraselmis sp. GSL018	715	PF02181	2..189
A0A061RFM4	unreviewed	Formin-like protein	582737	Tetraselmis sp. GSL018	947	PF02181	27..415
A0A061RHT2	unreviewed	Formin-like protein	582737	Tetraselmis sp. GSL018	550	PF02181	12..255
A0A061RMY2	unreviewed	Formin-like protein	582737	Tetraselmis sp. GSL018	470	PF02181	58..441
A0A061SMZ7	unreviewed	Formin-like protein	582737	Tetraselmis sp. GSL018	1056	PF02181	358..727
A0A066V8R3	unreviewed	FH2 domain-containing protein	1037660	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	502	PF02181	8..398
A0A066VF43	unreviewed	AAA domain-containing protein	1037660	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	2480	PF02181	1928..2288
A0A066WDW9	unreviewed	GBD/FH3 domain-containing protein	1287689	Rhizoctonia solani AG-8 WAC10335	1189	PF02181	750..985
A0A066XGB9	unreviewed	Cytokinesis protein	1173701	Colletotrichum sublineola	1768	PF02181	1161..1553
A0A067BZ41	unreviewed	FH2 domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	1129	PF02181	698..1053
A0A067C954	unreviewed	FH2 domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	817	PF02181	426..780
A0A067CE32	unreviewed	FH2 domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	1764	PF02181	1286..1653
A0A067CFM6	unreviewed	Protein kinase domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	1477	PF02181	721..1039
A0A067CPS6	unreviewed	Formin-homology 2 domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	1511	PF02181	1085..1449
A0A067CSA4	unreviewed	FH2 domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	592	PF02181	199..566
A0A067CT96	unreviewed	ANK_REP_REGION domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	1163	PF02181	913..1049
A0A067D0I8	unreviewed	Formin-like protein	2711	Citrus sinensis	634	PF02181	323..633
A0A067D165	unreviewed	FYVE-type domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	1207	PF02181	568..936
A0A067D628	unreviewed	FH2 domain-containing protein	2711	Citrus sinensis	163	PF02181	10..85
A0A067DKL2	unreviewed	Formin-like protein	2711	Citrus sinensis	1035	PF02181	588..982
A0A067DTQ2	unreviewed	Formin-like protein	2711	Citrus sinensis	699	PF02181	235..638
A0A067DU71	unreviewed	Formin-like protein	2711	Citrus sinensis	921	PF02181	457..860
A0A067E9T0	unreviewed	Formin-like protein	2711	Citrus sinensis	915	PF02181	459..863
A0A067ED79	unreviewed	Formin-like protein	2711	Citrus sinensis	1052	PF02181	903..1049
A0A067EM60	unreviewed	Formin-like protein	2711	Citrus sinensis	368	PF02181	1..282
A0A067EWY4	unreviewed	Formin-like protein	2711	Citrus sinensis	321	PF02181	55..127,126..209
A0A067EXQ9	unreviewed	Formin-like protein	2711	Citrus sinensis	876	PF02181	412..816
A0A067FJA7	unreviewed	Formin-like protein	2711	Citrus sinensis	1162	PF02181	966..1158
A0A067FVH8	unreviewed	C2 tensin-type domain-containing protein	2711	Citrus sinensis	1184	PF02181	952..1041,1040..1136
A0A067FW70	unreviewed	Formin-like protein	2711	Citrus sinensis	1385	PF02181	966..1337
A0A067G292	unreviewed	Formin-like protein	2711	Citrus sinensis	390	PF02181	9..364
A0A067GC20	unreviewed	FH2 domain-containing protein	2711	Citrus sinensis	211	PF02181	1..210
A0A067GCG3	unreviewed	Formin-like protein	2711	Citrus sinensis	1012	PF02181	867..1012
A0A067GJU1	unreviewed	Formin-like protein	2711	Citrus sinensis	885	PF02181	444..834
A0A067JEV7	unreviewed	Formin-like protein	180498	Jatropha curcas	762	PF02181	292..702
A0A067JU08	unreviewed	Formin-like protein	180498	Jatropha curcas	679	PF02181	262..656
A0A067K0U7	unreviewed	Formin-like protein	180498	Jatropha curcas	895	PF02181	431..831
A0A067K4V1	unreviewed	Formin-like protein	180498	Jatropha curcas	691	PF02181	221..630
A0A067K5A8	unreviewed	Formin-like protein	180498	Jatropha curcas	1054	PF02181	696..1016
A0A067K7G8	unreviewed	Formin-like protein	180498	Jatropha curcas	919	PF02181	475..868
A0A067KES4	unreviewed	Formin-like protein	180498	Jatropha curcas	1264	PF02181	843..1215
A0A067KHC7	unreviewed	Formin-like protein	180498	Jatropha curcas	916	PF02181	458..859
A0A067KTH5	unreviewed	Formin-like protein	180498	Jatropha curcas	940	PF02181	485..889
A0A067KVL0	unreviewed	Formin-like protein	180498	Jatropha curcas	992	PF02181	532..937
A0A067L3L0	unreviewed	FH2 domain-containing protein	180498	Jatropha curcas	215	PF02181	1..169
A0A067LKH0	unreviewed	Formin-like protein	180498	Jatropha curcas	1110	PF02181	661..1057
A0A067MUZ6	unreviewed	GBD/FH3 domain-containing protein	930990	Botryobasidium botryosum FD-172 SS1	1738	PF02181	1253..1631
A0A067NNS1	unreviewed	GBD/FH3 domain-containing protein	1137138	Pleurotus ostreatus PC15	1698	PF02181	1255..1623
A0A067P063	unreviewed	Cytokinesis protein	1137138	Pleurotus ostreatus PC15	1600	PF02181	1102..1473
A0A067Q7F0	unreviewed	Cytokinesis protein sepA	933084	Jaapia argillacea MUCL 33604	1694	PF02181	1131..1503
A0A067QBL0	unreviewed	FH2-domain-containing protein	933084	Jaapia argillacea MUCL 33604	1750	PF02181	1302..1648
A0A067QLC1	unreviewed	FH1/FH2 domain-containing protein 3	136037	Zootermopsis nevadensis	1291	PF02181	890..1254
